Date,Close/Last,Volume,Open,High,Low
10/17/2018,246.5986,--,248.2231,248.4877,244.8429
10/16/2018,247.7003,--,242.0766,247.8489,241.9911
10/15/2018,240.5001,--,238.3953,241.7878,238.0143
10/12/2018,238.376,--,239.2087,239.7689,235.7839
10/11/2018,234.9677,--,235.8306,239.2087,234.8656
10/10/2018,237.1616,--,243.8601,243.9386,237.0424
10/09/2018,244.8127,--,247.092,247.3974,244.7595
10/08/2018,247.0791,--,247.902,248.523,244.9529
10/05/2018,248.7235,--,253.2722,254.1067,247.1947
10/04/2018,254.1893,--,258.5712,258.5767,253.1766
10/03/2018,259.1551,--,261.7674,261.8288,258.4668
10/02/2018,260.909,--,259.8988,261.9336,259.8337
10/01/2018,259.985,--,261.5285,261.795,259.1547
