"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2019","2.6465","2.6425","2.6425","2.6425","0.55K","-0.88%"
"Aug 19, 2019","2.6700","2.6660","2.6660","2.6660","0.17K","0.23%"
"Aug 16, 2019","2.6640","2.6600","2.6600","2.6600","0.34K","-0.06%"
"Aug 15, 2019","2.6655","2.6615","2.6615","2.6615","1.97K","0.17%"
"Aug 14, 2019","2.6610","2.6570","2.6570","2.6570","0.14K","-1.41%"
"Aug 13, 2019","2.6990","2.6950","2.6950","2.6950","0.32K","1.64%"
"Aug 12, 2019","2.6555","2.6515","2.6515","2.6515","0.09K","-0.13%"
"Aug 09, 2019","2.6590","2.6550","2.6550","2.6550","0.23K","-0.67%"
"Aug 08, 2019","2.6770","2.6730","2.6730","2.6730","0.20K","1.23%"
"Aug 07, 2019","2.6445","2.6405","2.6405","2.6405","0.11K","0.51%"
"Aug 06, 2019","2.6310","2.6270","2.6270","2.6270","0.29K","0.44%"
"Aug 05, 2019","2.6195","2.6155","2.6155","2.6155","0.13K","-1.00%"
"Aug 02, 2019","2.6460","2.6420","2.6420","2.6420","0.18K","-3.40%"
"Aug 01, 2019","2.7390","2.7350","2.7350","2.7350","0.08K","0.02%"
"Jul 31, 2019","2.7385","2.7345","2.7345","2.7345","0.21K","-0.35%"
"Jul 30, 2019","2.7480","2.7440","2.7440","2.7440","0.23K","-1.29%"
"Jul 29, 2019","2.7840","2.7800","2.7800","2.7800","0.09K","1.03%"
"Jul 26, 2019","2.7555","2.7515","2.7515","2.7515","0.09K","-0.68%"
"Jul 25, 2019","2.7745","2.7705","2.7705","2.7705","0.07K","-0.20%"
"Jul 24, 2019","2.7800","2.7760","2.7760","2.7760","0.04K","0.52%"
"Jul 23, 2019","2.7655","2.7615","2.7615","2.7615","0.06K","-0.95%"
"Jul 22, 2019","2.7920","2.7880","2.7880","2.7880","0.28K","-0.82%"
"Jul 19, 2019","2.8150","2.8110","2.8110","2.8110","0.34K","1.61%"
"Jul 18, 2019","2.7705","2.7665","2.7665","2.7665","0.19K","-0.25%"
"Jul 17, 2019","2.7775","2.7735","2.7735","2.7735","0.12K","0.52%"
"Jul 16, 2019","2.7630","2.7590","2.7590","2.7590","0.09K","-0.40%"
"Jul 15, 2019","2.7740","2.7700","2.7700","2.7700","0.18K","0.47%"
"Jul 12, 2019","2.7610","2.7570","2.7570","2.7570","0.11K","0.22%"
"Jul 11, 2019","2.7550","2.7510","2.7510","2.7510","0.31K","-0.13%"
"Jul 10, 2019","2.7585","2.7545","2.7545","2.7545","0.12K","2.41%"
