Date,Open,High,Low,Close,null
20001114,1351.26001,1390.06006,1351.25977,1382.94995,0
20001115,1382.94995,1395.95996,1374.75,1389.80981,0
20001116,1389.81006,1394.67993,1370.3999,1372.31982,0
20001117,1372.32007,1384.8501,1355.5498,1367.71997,0
20001120,1367.71997,1367.71997,1341.66992,1342.61987,0
20001121,1342.62012,1355.87012,1333.61987,1347.34985,0
20001122,1347.3501,1347.3501,1321.88989,1322.35986,0
20001124,1322.36011,1343.83008,1322.35986,1341.76978,0
20001127,1341.77002,1362.5,1341.76978,1348.96997,0
20001128,1348.96997,1358.81006,1334.96997,1336.08984,0
20001129,1336.09009,1352.37988,1329.27979,1341.90991,0
20001130,1341.90991,1341.90991,1294.8999,1314.94995,0
20001201,1314.94995,1334.66992,1307.01978,1315.22998,0
20001204,1315.17993,1332.06006,1310.22998,1324.96997,0
20001205,1324.96997,1376.56006,1324.96997,1376.53979,0
20001206,1376.54004,1376.54004,1346.1499,1351.45996,0
20001207,1351.45996,1353.5,1339.25977,1343.5498,0
20001208,1343.55005,1380.33008,1343.5498,1369.88989,0
20001211,1369.88989,1389.05005,1364.13989,1380.19995,0
20001212,1380.19995,1380.27002,1370.26978,1371.17993,0
20001213,1371.17993,1385.82007,1358.47998,1359.98999,0
20001214,1359.98999,1359.98999,1340.47998,1340.92993,0
20001215,1340.92993,1340.92993,1305.37988,1312.1499,0
20001218,1312.1499,1332.32007,1312.1499,1322.73999,0
20001219,1322.95996,1346.43994,1305.19995,1305.59985,0
20001220,1305.6001,1305.6001,1261.15991,1264.73999,0
20001221,1264.73999,1285.31006,1254.06982,1274.85986,0
20001222,1274.86011,1305.96997,1274.85986,1305.96997,0
20001226,1305.96997,1315.93994,1301.63989,1315.18994,0
20001227,1315.18994,1332.03003,1310.95996,1328.91992,0
20001228,1328.91992,1335.92993,1325.77979,1334.21997,0
20001229,1334.21997,1340.1001,1317.50977,1320.27979,0
20010102,1320.28003,1320.28003,1276.0498,1283.26978,0
20010103,1283.27002,1347.76001,1274.61987,1347.55981,0
20010104,1347.56006,1350.23999,1329.13989,1333.33984,0
20010105,1333.34009,1334.77002,1294.94995,1298.34985,0
20010108,1298.3501,1298.3501,1276.28979,1295.85986,0
20010109,1295.86011,1311.71997,1295.13989,1300.7998,0
20010110,1300.80005,1313.76001,1287.27979,1313.26978,0
20010111,1313.27002,1332.18994,1309.71997,1326.81982,0
20010112,1326.82007,1333.20996,1311.59009,1318.32007,0
20010116,1318.32007,1327.81006,1313.32983,1326.6499,0
20010117,1326.6499,1346.91992,1325.40991,1329.46997,0
20010118,1329.88989,1352.70996,1327.40991,1347.96997,0
20010119,1347.96997,1354.55005,1336.73999,1342.53979,0
20010122,1342.54004,1353.62012,1333.83984,1342.8999,0
20010123,1342.8999,1362.8999,1339.62988,1360.3999,0
20010124,1360.3999,1369.75,1357.27979,1364.2998,0
20010125,1364.30005,1367.3501,1354.62988,1357.50977,0
20010126,1357.51001,1357.51001,1342.75,1354.94995,0
20010129,1354.91992,1365.54004,1350.35986,1364.16992,0
20010130,1364.16992,1375.67993,1356.19995,1373.72998,0
20010131,1373.72998,1383.37012,1364.65991,1366.00977,0
20010201,1366.01001,1373.5,1359.33984,1373.46997,0
20010202,1373.46997,1376.37988,1348.71997,1349.46997,0
20010205,1349.46997,1354.56006,1344.47998,1354.30981,0
20010206,1354.31006,1363.55005,1350.03979,1352.25977,0
20010207,1352.26001,1352.26001,1334.25977,1340.88989,0
20010208,1341.1001,1350.32007,1332.41992,1332.52979,0
20010209,1332.53003,1332.53003,1309.97998,1314.75977,0
20010212,1314.76001,1330.95996,1313.63989,1330.30981,0
20010213,1330.31006,1336.62012,1317.50977,1318.7998,0
20010214,1318.80005,1320.72998,1304.71997,1315.91992,0
20010215,1315.91992,1331.29004,1315.91992,1326.60986,0
20010216,1326.61011,1326.61011,1293.17993,1301.52979,0
20010220,1301.53003,1307.15991,1278.43994,1278.93994,0
20010221,1278.93994,1282.96997,1253.15991,1255.26978,0
20010222,1255.27002,1259.93994,1228.32983,1252.81982,0
20010223,1252.82007,1252.82007,1215.43994,1245.85986,0
20010226,1245.86011,1267.68994,1241.70996,1267.6499,0
20010227,1267.6499,1272.76001,1252.25977,1257.93994,0
20010228,1257.93994,1263.46997,1229.6499,1239.93994,0
20010301,1239.93994,1241.36011,1214.5,1241.22998,0
20010302,1241.22998,1251.01001,1219.73999,1234.17993,0
20010305,1234.17993,1242.55005,1234.03979,1241.40991,0
20010306,1241.40991,1267.41992,1241.40991,1253.7998,0
20010307,1253.80005,1263.86011,1253.7998,1261.88989,0
20010308,1261.88989,1266.6001,1257.59985,1264.73999,0
20010309,1264.73999,1264.73999,1228.41992,1233.41992,0
20010312,1233.41992,1233.41992,1176.77979,1180.15991,0
20010313,1180.15991,1197.83008,1171.5,1197.65991,0
20010314,1197.65991,1197.65991,1155.34985,1166.70996,0
20010315,1166.70996,1182.04004,1166.70996,1173.55981,0
20010316,1173.56006,1173.56006,1148.63989,1150.52979,0
20010319,1150.53003,1173.5,1147.17993,1170.80981,0
20010320,1170.81006,1180.56006,1142.18994,1142.61987,0
20010321,1142.62012,1149.38989,1118.73999,1122.13989,0
20010322,1122.13989,1124.27002,1081.18994,1117.57983,0
20010323,1117.58008,1141.83008,1117.57983,1139.82983,0
20010326,1139.83008,1160.02002,1139.82983,1152.68994,0
20010327,1152.68994,1183.36011,1150.95996,1182.16992,0
20010328,1182.16992,1182.16992,1147.82983,1153.28979,0
20010329,1153.29004,1161.68994,1136.25977,1147.94995,0
20010330,1147.94995,1162.80005,1143.82983,1160.32983,0
20010402,1160.33008,1169.51001,1137.50977,1145.86987,0
20010403,1145.87012,1145.87012,1100.18994,1106.45996,0
20010404,1106.45996,1117.5,1091.98999,1103.25,0
20010405,1103.25,1151.46997,1103.25,1151.43994,0
20010406,1151.43994,1151.43994,1119.28979,1128.42993,0
20010409,1128.42993,1146.12988,1126.37988,1137.58984,0
20010410,1137.59009,1173.91992,1137.58984,1168.37988,0
20010411,1168.37988,1182.23999,1160.25977,1165.88989,0
20010412,1165.88989,1183.51001,1157.72998,1183.5,0
20010416,1183.5,1184.63989,1167.37988,1179.67993,0
20010417,1179.67993,1192.25,1168.8999,1191.80981,0
20010418,1191.81006,1248.41992,1191.80981,1238.15991,0
20010419,1238.15991,1253.70996,1233.38989,1253.69995,0
20010420,1253.69995,1253.69995,1234.40991,1242.97998,0
20010423,1242.97998,1242.97998,1217.46997,1224.35986,0
20010424,1224.36011,1233.54004,1208.88989,1209.46997,0
20010425,1209.46997,1232.36011,1207.37988,1228.75,0
20010426,1228.75,1248.30005,1228.75,1234.51978,0
20010427,1234.52002,1253.07007,1234.51978,1253.0498,0
20010430,1253.05005,1269.30005,1243.98999,1249.45996,0
20010501,1249.45996,1266.46997,1243.5498,1266.43994,0
20010502,1266.43994,1272.92993,1257.69995,1267.42993,0
20010503,1267.42993,1267.42993,1239.87988,1248.57983,0
20010504,1248.58008,1267.51001,1232,1266.60986,0
20010507,1266.61011,1270,1259.18994,1263.50977,0
20010508,1266.70996,1267.01001,1253,1261.19995,0
20010509,1261.19995,1261.6499,1247.82983,1255.53979,0
20010510,1255.54004,1268.13989,1254.55981,1255.17993,0
20010511,1255.17993,1259.84009,1240.78979,1245.66992,0
20010514,1245.66992,1249.67993,1241.01978,1248.91992,0
20010515,1248.91992,1257.44995,1245.35986,1249.43994,0
20010516,1249.43994,1286.38989,1243.01978,1284.98999,0
20010517,1284.98999,1296.47998,1282.6499,1288.48999,0
20010518,1288.48999,1292.06006,1281.1499,1291.95996,0
20010521,1291.95996,1312.94995,1287.86987,1312.82983,0
20010522,1312.83008,1315.92993,1306.88989,1309.37988,0
20010523,1309.37988,1309.37988,1288.69995,1289.0498,0
20010524,1289.05005,1295.04004,1281.21997,1293.16992,0
20010525,1293.16992,1293.16992,1276.41992,1277.88989,0
20010529,1277.88989,1278.41992,1265.40991,1267.92993,0
20010530,1267.92993,1267.92993,1245.95996,1248.07983,0
20010531,1248.08008,1261.90991,1248.06982,1255.81982,0
20010601,1255.82007,1265.34009,1246.87988,1260.66992,0
20010604,1260.66992,1267.16992,1256.35986,1267.10986,0
20010605,1267.11011,1286.62012,1267.10986,1283.56982,0
20010606,1283.57007,1283.8501,1269.00977,1270.02979,0
20010607,1270.03003,1277.08008,1265.07983,1276.95996,0
20010608,1276.95996,1277.11011,1259.98999,1264.95996,0
20010611,1264.95996,1264.95996,1249.22998,1254.38989,0
20010612,1254.38989,1261,1235.75,1255.84985,0
20010613,1255.8501,1259.75,1241.58984,1241.59985,0
20010614,1241.6001,1241.6001,1218.8999,1219.86987,0
20010615,1219.87012,1221.5,1203.02979,1214.35986,0
20010618,1214.36011,1221.22998,1208.32983,1208.42993,0
20010619,1208.42993,1226.11011,1207.70996,1212.57983,0
20010620,1212.58008,1225.61011,1210.06982,1223.13989,0
20010621,1223.13989,1240.23999,1220.25,1237.03979,0
20010622,1237.04004,1237.72998,1221.43994,1225.34985,0
20010625,1225.3501,1231.5,1213.59985,1218.59985,0
20010626,1218.6001,1220.69995,1204.63989,1216.75977,0
20010627,1216.76001,1219.91992,1207.28979,1211.06982,0
20010628,1211.07007,1234.43994,1211.06982,1226.19995,0
20010629,1226.19995,1237.29004,1221.13989,1224.41992,0
20010702,1224.41992,1239.78003,1224.02979,1236.70996,0
20010703,1236.70996,1236.70996,1229.42993,1234.44995,0
20010705,1234.44995,1234.44995,1219.1499,1219.23999,0
20010706,1219.23999,1219.23999,1188.73999,1190.58984,0
20010709,1190.59009,1201.76001,1189.75,1198.77979,0
20010710,1198.78003,1203.42993,1179.92993,1181.51978,0
20010711,1181.52002,1184.92993,1168.45996,1180.17993,0
20010712,1180.17993,1210.25,1180.17993,1208.13989,0
20010713,1208.13989,1218.54004,1203.60986,1215.67993,0
20010716,1215.67993,1219.62988,1200.0498,1202.44995,0
20010717,1202.44995,1215.36011,1196.13989,1214.43994,0
20010718,1214.43994,1214.43994,1198.32983,1207.70996,0
20010719,1207.70996,1225.04004,1205.7998,1215.01978,0
20010720,1215.02002,1215.68994,1207.03979,1210.84985,0
20010723,1210.8501,1215.21997,1190.5,1191.02979,0
20010724,1191.03003,1191.03003,1165.53979,1171.6499,0
20010725,1171.6499,1190.52002,1171.27979,1190.48999,0
20010726,1190.48999,1204.17993,1182.6499,1202.92993,0
20010727,1202.92993,1209.26001,1195.98999,1205.81982,0
20010730,1205.82007,1209.05005,1200.40991,1204.51978,0
20010731,1204.52002,1222.73999,1204.51978,1211.22998,0
20010801,1211.22998,1223.04004,1211.22998,1215.92993,0
20010802,1215.92993,1226.27002,1215.30981,1220.75,0
20010803,1220.75,1220.75,1205.30981,1214.34985,0
20010806,1214.3501,1214.3501,1197.34985,1200.47998,0
20010807,1200.46997,1207.56006,1195.63989,1204.3999,0
20010808,1204.3999,1206.79004,1181.26978,1183.52979,0
20010809,1183.53003,1184.70996,1174.67993,1183.42993,0
20010810,1183.42993,1193.33008,1169.5498,1190.15991,0
20010813,1190.15991,1193.82007,1185.11987,1191.28979,0
20010814,1191.29004,1198.79004,1184.25977,1186.72998,0
20010815,1186.72998,1191.20996,1177.60986,1178.01978,0
20010816,1178.02002,1181.80005,1166.07983,1181.65991,0
20010817,1181.65991,1181.65991,1156.06982,1161.96997,0
20010820,1161.96997,1171.40991,1160.93994,1171.40991,0
20010821,1171.40991,1179.8501,1156.55981,1157.25977,0
20010822,1157.26001,1168.56006,1153.33984,1165.30981,0
20010823,1165.31006,1169.86011,1160.95996,1162.08984,0
20010824,1162.09009,1185.1499,1162.08984,1184.92993,0
20010827,1184.92993,1186.8501,1178.06982,1179.20996,0
20010828,1179.20996,1179.65991,1161.16992,1161.50977,0
20010829,1161.51001,1166.96997,1147.37988,1148.59985,0
20010830,1148.6001,1151.75,1124.86987,1129.02979,0
20010831,1129.03003,1141.83008,1126.37988,1133.57983,0
20010904,1133.58008,1155.3999,1129.05981,1132.93994,0
20010905,1132.93994,1135.52002,1114.85986,1131.73999,0
20010906,1131.73999,1131.73999,1105.82983,1106.3999,0
20010907,1106.3999,1106.3999,1082.11987,1085.77979,0
20010910,1085.78003,1096.93994,1073.1499,1092.53979,0
20010917,1092.54004,1092.54004,1037.45996,1038.76978,0
20010918,1038.77002,1046.41992,1029.25,1032.73999,0
20010919,1032.73999,1038.90991,984.61987,1016.09985,0
20010920,1016.1001,1016.1001,984.48999,984.53979,0
20010921,984.54004,984.54004,944.75,965.7998,0
20010924,965.80005,1008.43994,965.7998,1003.44995,0
20010925,1003.44995,1017.13989,998.32983,1012.26978,0
20010926,1012.27002,1020.29004,1002.61987,1007.03979,0
20010927,1007.04004,1018.91992,998.23999,1018.60986,0
20010928,1018.61011,1040.93994,1018.60986,1040.93994,0
20011001,1040.93994,1040.93994,1026.75977,1038.5498,0
20011002,1038.55005,1051.33008,1034.46997,1051.32983,0
20011003,1051.33008,1075.37988,1041.47998,1072.27979,0
20011004,1072.28003,1084.12012,1067.81982,1069.62988,0
20011005,1069.62012,1072.3501,1053.5,1071.37988,0
20011008,1071.37012,1071.37012,1056.87988,1062.43994,0
20011009,1062.43994,1063.37012,1053.82983,1056.75,0
20011010,1056.75,1081.62012,1052.69995,1080.98999,0
20011011,1080.98999,1099.15991,1080.98999,1097.42993,0
20011012,1097.42993,1097.42993,1072.1499,1091.6499,0
20011015,1091.6499,1091.6499,1078.18994,1089.97998,0
20011016,1089.97998,1101.65991,1087.12988,1097.53979,0
20011017,1097.54004,1107.12012,1076.56982,1077.08984,0
20011018,1077.09009,1077.93994,1064.53979,1068.60986,0
20011019,1068.61011,1075.52002,1057.23999,1073.47998,0
20011022,1073.47998,1090.57007,1070.31982,1089.8999,0
20011023,1089.8999,1098.98999,1081.52979,1084.77979,0
20011024,1084.78003,1090.26001,1079.97998,1085.19995,0
20011025,1085.19995,1100.09009,1065.63989,1100.08984,0
20011026,1100.09009,1110.61011,1094.23999,1104.60986,0
20011029,1104.61011,1104.61011,1078.2998,1078.2998,0
20011030,1078.30005,1078.30005,1053.60986,1059.78979,0
20011031,1059.79004,1074.79004,1057.5498,1059.77979,0
20011101,1059.78003,1085.61011,1054.30981,1084.09985,0
20011102,1084.1001,1089.62988,1075.57983,1087.19995,0
20011105,1087.19995,1106.71997,1087.19995,1102.83984,0
20011106,1102.84009,1119.72998,1095.35986,1118.85986,0
20011107,1118.86011,1126.62012,1112.97998,1115.7998,0
20011108,1115.80005,1135.75,1115.41992,1118.53979,0
20011109,1118.54004,1123.02002,1111.12988,1120.30981,0
20011112,1120.31006,1121.70996,1098.31982,1118.32983,0
20011113,1118.33008,1139.13989,1118.32983,1139.08984,0
20011114,1139.09009,1148.28003,1132.86987,1141.20996,0
20011115,1141.20996,1146.45996,1135.05981,1142.23999,0
20011116,1142.23999,1143.52002,1129.91992,1138.6499,0
20011119,1138.6499,1151.06006,1138.6499,1151.05981,0
20011120,1151.06006,1152.44995,1142.16992,1142.65991,0
20011121,1142.65991,1142.65991,1129.77979,1137.02979,0
20011123,1137.03003,1151.05005,1135.8999,1150.33984,0
20011126,1150.34009,1157.87988,1146.16992,1157.41992,0
20011127,1157.41992,1163.37988,1140.80981,1149.5,0
20011128,1149.5,1149.5,1128.28979,1128.51978,0
20011129,1128.52002,1140.3999,1125.50977,1140.19995,0
20011130,1140.19995,1143.57007,1135.88989,1139.44995,0
20011203,1139.44995,1139.44995,1125.77979,1129.8999,0
20011204,1129.8999,1144.80005,1128.85986,1144.7998,0
20011205,1143.77002,1173.62012,1143.76978,1170.34985,0
20011206,1170.3501,1173.3501,1164.42993,1167.09985,0
20011207,1167.1001,1167.1001,1152.65991,1158.30981,0
20011210,1158.31006,1158.31006,1139.65991,1139.92993,0
20011211,1139.92993,1150.88989,1134.31982,1136.75977,0
20011212,1136.76001,1141.58008,1126.00977,1137.06982,0
20011213,1137.07007,1137.07007,1117.84985,1119.37988,0
20011214,1119.37988,1128.28003,1114.5,1123.08984,0
20011217,1123.09009,1137.36011,1122.33984,1134.35986,0
20011218,1134.36011,1145.1001,1134.35986,1142.91992,0
20011219,1142.91992,1152.43994,1134.75,1149.55981,0
20011220,1149.56006,1151.41992,1139.92993,1139.92993,0
20011221,1139.92993,1147.83008,1139.92993,1144.88989,0
20011224,1144.88989,1147.83008,1144.61987,1144.6499,0
20011226,1144.6499,1159.17993,1144.6499,1149.36987,0
20011227,1149.37012,1157.12988,1149.36987,1157.12988,0
20011228,1157.12988,1164.63989,1157.12988,1161.01978,0
20011231,1161.02002,1161.15991,1148.03979,1148.07983,0
20020102,1148.08008,1154.66992,1136.22998,1154.66992,0
